,total_rainfall,no_of_rainy_days,year,month_of_year,date,total_visitor_inbound,mean_temp
360,106.1,16,2012,1,2012-01-01,1198507,26.7
361,83.6,11,2012,2,2012-02-01,1134554,27.2
362,313.4,21,2012,3,2012-03-01,1243133,27.0
363,260.6,20,2012,4,2012-04-01,1201953,27.6
364,292.0,19,2012,5,2012-05-01,1146448,28.2
365,53.0,8,2012,6,2012-06-01,1157739,28.7
366,130.8,17,2012,7,2012-07-01,1283611,27.7
367,119.0,12,2012,8,2012-08-01,1313604,27.9
368,107.6,10,2012,9,2012-09-01,1051348,27.9
369,122.2,13,2012,10,2012-10-01,1192580,27.7
370,208.2,22,2012,11,2012-11-01,1212079,27.1
371,363.4,22,2012,12,2012-12-01,1360536,26.7
372,262.0,15,2013,1,2013-01-01,1291718,27.1
373,395.2,22,2013,2,2013-02-01,1221365,26.5
374,85.8,10,2013,3,2013-03-01,1368891,28.3
375,159.4,19,2013,4,2013-04-01,1274246,28.2
376,211.4,17,2013,5,2013-05-01,1288282,28.2
377,111.4,12,2013,6,2013-06-01,1288950,29.0
378,174.6,15,2013,7,2013-07-01,1419657,27.8
379,165.6,15,2013,8,2013-08-01,1483520,27.9
380,257.0,19,2013,9,2013-09-01,1176142,27.5
381,285.4,19,2013,10,2013-10-01,1203746,27.7
382,292.4,22,2013,11,2013-11-01,1184002,27.1
383,348.2,21,2013,12,2013-12-01,1367404,26.5
384,75.4,5,2014,1,2014-01-01,1345842,26.2
385,0.2,1,2014,2,2014-02-01,1238239,27.2
386,66.0,6,2014,3,2014-03-01,1297551,27.9
387,110.0,17,2014,4,2014-04-01,1245307,28.2
388,125.8,18,2014,5,2014-05-01,1208532,28.6
389,71.4,11,2014,6,2014-06-01,1181422,29.0
390,148.6,15,2014,7,2014-07-01,1408400,28.7
391,241.0,20,2014,8,2014-08-01,1362935,27.7
392,83.6,9,2014,9,2014-09-01,1098626,28.5
393,120.0,10,2014,10,2014-10-01,1203527,28.4
394,250.8,23,2014,11,2014-11-01,1144230,27.5
395,245.6,17,2014,12,2014-12-01,1360541,27.0
396,79.6,6,2015,1,2015-01-01,1252608,26.9
397,18.8,6,2015,2,2015-02-01,1188818,27.0
398,84.4,5,2015,3,2015-03-01,1201648,28.2
399,73.2,13,2015,4,2015-04-01,1208624,28.6
400,89.0,12,2015,5,2015-05-01,1222836,28.7
401,95.8,10,2015,6,2015-06-01,1184747,29.0
402,116.8,13,2015,7,2015-07-01,1519233,29.1
403,185.8,11,2015,8,2015-08-01,1445062,28.4
404,61.6,8,2015,9,2015-09-01,1131976,28.7
405,87.2,9,2015,10,2015-10-01,1246947,28.7
406,72.6,13,2015,11,2015-11-01,1203992,28.0
407,302.3,19,2015,12,2015-12-01,1424978,27.7
408,126.6,15,2016,1,2016-01-01,1412123,28.3
409,186.0,10,2016,2,2016-02-01,1335097,27.8
410,6.2,6,2016,3,2016-03-01,1406607,29.0
411,89.8,14,2016,4,2016-04-01,1393972,29.4
412,193.8,12,2016,5,2016-05-01,1357543,29.3
413,162.8,13,2016,6,2016-06-01,1270531,28.5
414,168.6,20,2016,7,2016-07-01,1622405,28.4
415,139.2,15,2016,8,2016-08-01,1481876,28.9
416,118.9,15,2016,9,2016-09-01,1144063,28.3
417,181.0,16,2016,10,2016-10-01,1237675,28.3
418,290.2,20,2016,11,2016-11-01,1235433,27.4
419,292.6,23,2016,12,2016-12-01,1506134,27.4
420,197.6,21,2017,1,2017-01-01,1480479,26.9
421,158.4,15,2017,2,2017-02-01,1361010,26.9
422,136.2,11,2017,3,2017-03-01,1480161,27.4
